source_id,provider_institution,dataset_product,source_url_or_acquisition_route,local_raw_files,spatial_resolution,temporal_resolution,coverage,reported_measured_modeled_status,processing_script,processed_outputs,model_role,known_limitations,branch_group,in_source_manifest
META_2014_DISCLOSURE,Meta / Facebook,Facebook Sustainability Data 2014,https://sustainability.atmeta.com/asset/2014-sustainability-data-disclosure/,source_manifest.csv (path not found locally); data/canonical/meta_prineville_source_vintages.csv,Prineville campus (site table),annual,2011-2014 vintage audit,reported,src/build_targets.py,data/canonical/meta_prineville_annual.csv,historical source-vintage audit; first 2014 water disclosure,Not the canonical later-year series; site totals are not hourly IT telemetry.,facility_ground_truth,yes
META_2015_DISCLOSURE,Meta / Facebook,2015 Sustainability Data Disclosure,https://sustainability.atmeta.com/asset/2015-sustainability-data-disclosure/,source_manifest.csv (path not found locally); data/canonical/meta_prineville_source_vintages.csv,Prineville campus (site table),annual,2011-2015 vintage; 2012 location Scope 2 used in canonical table,reported,src/build_targets.py,data/canonical/meta_prineville_annual.csv,source-vintage audit; supplies 2012 location Scope 2,"Annual corporate site table, not meters.",facility_ground_truth,yes
META_2016_DISCLOSURE,Meta / Facebook,2016 Sustainability Data Disclosure,https://sustainability.atmeta.com/asset/2016-sustainability-data-disclosure/,source_manifest.csv (path not found locally); data/canonical/meta_prineville_source_vintages.csv,Prineville campus (site table),annual,canonical early electricity (2011-2016); early water; Scope 2,reported,src/build_targets.py,data/canonical/meta_prineville_annual.csv,"canonical early electricity, water, location Scope 2, operational GHG",Site annual totals. Do not treat as hourly IT workload.,facility_ground_truth,yes
META_2019_DISCLOSURE,Meta / Facebook,Facebook Sustainability Data 2019,https://sustainability.atmeta.com/asset/fb_sustainability-data-disclosure-2019/,source_manifest.csv (path not found locally); data/canonical/meta_prineville_source_vintages.csv,Prineville campus (site table),annual,canonical 2017-2019 electricity; 2015-2019 water; Scope 2,reported,src/build_targets.py,data/canonical/meta_prineville_annual.csv,"canonical mid-period electricity, water, location Scope 2",Site annual totals. Operational GHG definitions are vintage-sensitive.,facility_ground_truth,yes
META_2025_INDEX,Meta,Meta 2025 Environmental Data Index (FY2024),https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,source_manifest.csv (path not found locally); data/canonical/meta_prineville_source_vintages.csv,Prineville campus (site table),annual,"2020-2024 electricity, water withdrawal, location Scope 2, operational GHG",reported,src/build_targets.py,data/canonical/meta_prineville_annual.csv,"canonical recent campus electricity, withdrawal, location Scope 2",Withdrawal is the disclosed site water quantity; consumption vs withdrawal is not separately identified for the campus.,facility_ground_truth,yes
META_2023_DATA_INDEX,Meta,Meta 2023 Environmental Data Index (methods),https://sustainability.atmeta.com/wp-content/uploads/2023/07/Meta-2023-Environmental-Data-Index.pdf,source_manifest.csv (path not found locally),company/site methodology,methods through 2022,WUE / withdrawal / consumption estimation definitions,"reported (methods, not the canonical numeric series)",not used as numeric annual targets,,definition/methods context for WUE and water accounting,"Canonical numeric series come from 2016/2019/2025 vintages via build_targets.py, not this PDF.",facility_ground_truth,yes
META_ENGINEERING_2011,Meta Engineering,Designing a Very Efficient Data Center (2011-04-14),https://engineering.fb.com/2011/04/14/core-infra/designing-a-very-efficient-data-center/,data/canonical/campus_events_seed.csv,Prineville initial design,design point (2011),2011 initial full-load PUE 1.07 and WUE 0.31 L/kWh; outside-air evaporative cooling; no chiller plant,reported design benchmark (not annual telemetry),src/prineville_graybox.py (priors); src/conditional_reconstruction.py (falsification diagnostic),outputs/conditional_water_model.csv (2011 PUE diagnostic),epoch-1 physics prior and PUE/WUE falsification point,"Design point, not measured annual PUE/WUE. Gray-box fan/other fractions are code priors, not values stated in this article.",facility_ground_truth,yes
META_EXPANSION_2021,Meta,Facebook’s Prineville Data Center is Growing Again,https://datacenters.atmeta.com/2021/03/facebooks-prineville-data-center-is-growing-again/,data/canonical/campus_events_seed.csv,campus,event,"2010 groundbreaking; 2021-03-18 expansion announcement (~900,000 sq ft; 11 buildings / ~4.6M sq ft upon completion)",reported event,not a numeric model input,data/canonical/campus_events_seed.csv,candidate capacity-state annotation only; completion dates not identified,Announcement is not a commissioning date or MW capacity series.,onsite_generation_permits,yes
CITY_EOA_2026,City of Prineville,Economic Opportunities Analysis (2026 draft),https://cityofprineville.com/sites/default/files/fileattachments/city_council/page/19317/final_draft_prineville_eoa_january_22_2026.pdf,data/canonical/campus_events_seed.csv,city / campus,planning/event,2010-2024; 11 data-center buildings constructed,reported planning document,not a numeric model input,data/canonical/campus_events_seed.csv,end-state campus-scale cross-check,Does not identify individual commissioning dates or MW.,onsite_generation_permits,yes
CITY_WATER_SEWER,City of Prineville,City Water/Sewer system description,https://www.cityofprineville.com/1426/WaterSewer,,municipal system,current description,current,reported system description,,,"context for municipal ownership, wells/reservoirs, metering","Not a production time series. Facebook meter records are CITY_FB_* sources, not this page.",water,yes
CITY_2024_CCR,City of Prineville,2024 Consumer Confidence Report,https://www.cityofprineville.com/DocumentCenter/View/516/2024-Consumer-Confidence-Report,data/canonical/city_water_sources.csv,PWS 00682,annual/system,2024; groundwater-only source statement,reported,used as identity context with OHA inventory,data/canonical/city_water_sources.csv,named well inventory / groundwater-only statement,Not monthly production. Not Meta campus delivery.,water,yes
CITY_PUBLIC_RECORDS,City of Prineville,Public-records request mechanism,https://www.cityofprineville.com/1294/Public-Records,MANUAL_ACQUISITION.md,,,current request mechanism,not a dataset; request route only,,,request route; Facebook utility-meter package now ingested as CITY_FB_* sources,"Meter-level Facebook water/sewer/bulk/lifecycle records were received in 2026. Municipal well production by well, ASR injection/recovery, and identified total campus wastewater return remain outstanding. City meters are not Meta annual withdrawal.",water,yes
CITY_FB_METER_CONSUMPTION,City of Prineville,Facebook water/sewer meter consumption report,City public-records delivery 2026; native XLSX preferred,data/raw/city_prineville_public_records_2026/FB Meters and Consumption(2).xlsx (CSV/TXT/PDF mirrors) (path not found locally),named Facebook accounts / meter ID at service location,month (City: consumption month for ordinary meters),2012-2026; 2026 observed through July,reported City utility-meter usage,src/prepare_city_prineville_utility.py,data/processed/city_prineville/city_meter_monthly_long.csv; city_water_components_monthly.csv,primary observation of City-metered Facebook Data Center WATER-COMM + ADD'L WATER service,"Customer-service boundary, not total Meta campus withdrawal. SWR METER and WELL METER FOR SEW remain unresolved identities. 2026 Aug–Dec are not_observed_yet. CSV/TXT are mirrors; PDF is an evidence copy with sparse extractable text.",water,yes
CITY_FB_BULK_WATER,City of Prineville,Facebook bulk/hydrant water billing records,City public-records delivery 2026,data/raw/city_prineville_public_records_2026/Facebook Bulk Water.xlsx,hydrant meter (no meter ID in the export),bill date (City: billed ~15th; reads ~10th),2018-02 through 2026-08 bill dates,reported billing-convention usage,src/prepare_city_prineville_utility.py,data/processed/city_prineville/city_bulk_water_monthly.csv,separate bulk component; excluded from city_metered_water_service_m3,Bill month is not claimed as physical consumption month. Duplicate bill dates are preserved. Not identified as ordinary cooling water.,water,yes
CITY_FB_METER_EVENTS,City of Prineville,Facebook meter set/swap/pull history,City public-records delivery 2026,"data/raw/city_prineville_public_records_2026/Meter Sets, Swaps.xlsx",meter ID,event date,City-compiled from ~2018 onward; incomplete earlier by City note,reported lifecycle events (incomplete pre-2018),src/prepare_city_prineville_utility.py,data/processed/city_prineville/city_meter_events.csv; city_meter_lineage_audit.csv,lineage/anomaly audit; not consumption,Absence of a pre-2018 event is not proof the meter did not exist. Leading-1 ID crosswalk is inferred and not silently applied. Meter 1573376176 set 2026-02-15 appears in 2024 consumption; source not corrected.,water,yes
CITY_UTILITY_DATA_DESCRIPTION,City of Prineville,City explanatory note on Facebook utility records,City public-records delivery 2026,data/raw/city_prineville_public_records_2026/City-of-Prinville-Data-Description.txt,n/a,n/a,accompanies 2026 delivery,source metadata,src/prepare_city_prineville_utility.py,"treated as source metadata (units, read/bill timing, pre-2018 lifecycle limit)",authoritative City statements on units and timing,"Filename misspells Prineville. Metadata, not a time series.",water,yes
OHA_PWS_00682,Oregon Health Authority / Drinking Water Services,Prineville City PWS 00682 inventory,https://yourwater.oregon.gov/inventory.php?pwsno=00682,data/canonical/city_water_sources.csv,source/facility inventory,current/historical status,"official source IDs, well-log IDs, source status",reported inventory,src/build_municipal_huc12_crosswalk.py,data/canonical/city_water_sources.csv; data/canonical/municipal_source_huc12_crosswalk.csv,municipal well/source identity for OWRD mapping and HUC12 join,13 wells unresolved (no official coordinates). Yancey Well #3 maps outside study HUC geography.,water,yes
OWRD_WUR_QUERY,Oregon Water Resources Department,Water Use Report Query entity exports,https://apps.wrd.state.or.us/apps/wr/wateruse_query/,data/raw/owrd/wateruse_entity_report.csv; data/raw/owrd/wateruse_entity_report_facebook.txt,POD / Report-ID,monthly where reported,City entity WY2010-2025; Vitesse/Facebook WY2011-2024 bundled,reported water-use records (may be measured or estimated by reporter),src/prepare_owrd_wateruse.py; src/build_water_context.py; src/owrd_water_model_validation.py,data/processed/owrd/; data/processed/water/prineville_water_monthly_context.csv; outputs/owrd_water_model_validation.csv,external municipal production and Meta/Facebook-associated direct POD evidence; not calibration targets,City production is not Meta delivery. Direct POD is not total Meta withdrawal. Missing months stay missing. DT14/DT18 unresolved.,water,yes
OWRD_WUR_RULE,Oregon Water Resources Department,Water Use Reporting program rules,https://www.oregon.gov/owrd/programs/WaterRights/Reporting/WUR,,,methods,current,methods documentation,,,reporting-requirement context,Not a numeric series.,water,yes
OWRD_ASR,Oregon Water Resources Department,Aquifer Storage and Recovery program page,https://www.oregon.gov/OWRD/programs/GWWL/GW/Pages/ASR.aspx,,,methods/system,current,methods documentation,,,ASR monitoring/accounting context only,No operational ASR injection/recovery series or groundwater-head model is implemented.,water,yes
OWRD_ASR_2020_APP,Oregon Water Resources Department / City of Prineville,Prineville ASR Dedicated Well #1/#2 grant application (2020),https://www.oregon.gov/owrd/programs/FundingOpportunities/WaterProjectGrantAndLoans/Documents/Applications%20Received%202020%20Cycle/PrinevilleASR_Application.pdf,source_manifest.csv (path not found locally); catalogued PrinevilleASR_Application.pdf not found under data/raw (permits_pdfs searched) (path not found locally),City ASR project,2020 application / historical context,states 260 MG/y additional storage as application context,reported engineering/application document,src/build_groundwater_context.py,data/canonical/groundwater/hydrogeologic_parameter_inventory.csv,groundwater-system intervention context,Not a calibrated head/storage time series. Catalogued application PDF is still not present locally; 260 MG/y remains a secondary application citation. Local Crook County permit PDFs were scanned and do not contain this value.,water,yes
OWRD_ASR_2020_ATTACH,Oregon Water Resources Department / City of Prineville,Prineville ASR 2020 attachments / 2018 feasibility study,https://www.oregon.gov/owrd/programs/FundingOpportunities/WaterProjectGrantAndLoans/Documents/Applications%20Received%202020%20Cycle/PrinevilleASR_Attachments.pdf,source_manifest.csv (path not found locally); catalogued PrinevilleASR_Attachments.pdf not found under data/raw (permits_pdfs searched) (path not found locally),local aquifer / ASR pilot,2018 study / 2020 attachment,"hydrographs, aquifer properties, ASR pilot design as document context; numeric heads now come from GWIS, not digitized figures",reported engineering document,src/build_groundwater_context.py,data/canonical/groundwater/hydrogeologic_parameter_inventory.csv,ASR engineering context; hydrographs not digitized because GWIS tabular levels exist,Catalogued attachments PDF is still not present locally. Local Crook County permit PDFs were scanned and yielded no T/S/Sy or pumping-test values. No groundwater dynamics model is implemented.,water,yes
OWRD_GWIS,Oregon Water Resources Department,"Groundwater Information System (GWIS) well, construction, lithology, and measured water-level exports",OWRD GWIS exports placed under data/raw/gwis_data_new/; no additional download in this pipeline stage,data/raw/gwis_data_new/ (55 files),individual wells (official GWIS coordinates where present),irregular measured water levels (datetime),local export of eight unique wells after file-hash deduplication; numeric BLS/AMSL where reported,measured well water levels and reported well-log construction/lithology,src/prepare_gwis.py; src/build_groundwater_context.py,data/processed/groundwater/groundwater_level_observations.csv; data/canonical/groundwater/groundwater_well_inventory.csv,measured groundwater-level observations and official well identity/construction; not a groundwater dynamics model,Duplicate raw exports are provenance-only. Mixed NGVD1929/NAVD1988 datums are not converted. Unmatched wells remain candidate_unresolved. Combined OWRD pumping groups are not split.,water,no
NOAA_ISD,NOAA NCEI,Integrated Surface Database / Global Hourly product family,https://www.ncei.noaa.gov/products/land-based-station/integrated-surface-database,,station,hourly/subhourly,product family; Prineville uses KRDM files below,measured (official station),src/download_noaa_global_hourly.py; src/prepare_weather.py,data/processed/weather_hourly.csv,product documentation for the weather driver,source_manifest still says station-ID verification needed; executable config uses KRDM 72692024230.,weather,yes
NOAA_GH_KRDM_FILES,NOAA NCEI,Global Hourly yearly station files: 72692024230 (KRDM / Roberts Field),https://www.ncei.noaa.gov/data/global-hourly/access/{YEAR}/72692024230.csv,data/raw/noaa/ (28 files),KRDM station (Redmond Roberts Field; not on-campus),hourly after processing,2011-2024 reconstruction window in processed weather_hourly.csv,measured station weather; wet-bulb derived psychrometrically,src/download_noaa_global_hourly.py; src/prepare_weather.py,data/processed/weather_krdm_hourly.csv; data/processed/weather_hourly.csv (KRDM hours in the canonical mix),exogenous weather driver for gray-box cooling/evaporation,Off-campus proxy for campus microclimate. source_manifest says files are not bundled; processed series is present.,weather,yes
NOAA_GH_KBDN_FILES,NOAA NCEI,Global Hourly yearly station files: 72063800224 (KBDN / Bend Municipal Airport),https://www.ncei.noaa.gov/data/global-hourly/access/{YEAR}/72063800224.csv,data/raw/noaa/ (28 files),KBDN station (Bend Municipal Airport; ~32 km from Prineville; not on-campus),hourly after processing,tertiary gap-only fallback for hours where KS39 and KRDM cannot supply QC-usable T/Td in the 2011-2024 reconstruction window,measured station weather; monthly additive transfer to KRDM climate; RH/Twb recomputed in canonical mix,src/prepare_weather_kbdn.py; src/prepare_weather_ks39.py,data/processed/weather_kbdn_hourly.csv; data/processed/weather_hourly.csv (tertiary hours only),tertiary gap-only weather fallback; not a replacement for KS39 or KRDM,Off-campus. Used only when the KS39/KRDM hierarchy cannot supply valid primitives. Selection is independent of water/electricity model results.,weather,no
NWS_KRDM,National Weather Service,Roberts Field / KRDM time series page,https://www.weather.gov/wrh/timeseries?site=KRDM,,station metadata,current,station identity confirmation,metadata,,,confirm nearby reference station KRDM,Not the numeric archive used by prepare_weather.py.,weather,yes
NOAA_MADIS_KS39,NOAA MADIS,KS39 / Prineville Airport METAR (MADIS),MADIS mesonet METAR; local cache data/raw/noaa_madis_ks39/,data/raw/noaa_madis_ks39/ (116 files),KS39 station (Prineville Airport; not on-campus),hourly after processing,QC-usable KS39 preferred in canonical weather from 2015-09-01 local; earlier KS39 is audit only,measured METAR; station pressure derived from altimeter; RH/Twb recomputed in canonical merge,src/prepare_weather_ks39.py,data/processed/weather_ks39_hourly.csv; data/processed/weather_hourly.csv; outputs/ks39_coverage_*.csv,preferred near-site weather driver from 2015-09-01 local when MADIS QC-usable,"Not campus microclimate. MADIS QC is not relaxed. 2016 pressure fallback is genuine NOAA QC, not a parser bug.",weather,no
USGS_NWAA_API,U.S. Geological Survey,National Water Availability Assessment Data Companion API,https://api.water.usgs.gov/nwaa-data/data,data/raw/usgs_nwaa/ (565 files),HUC12,monthly,model-specific (see product rows),official modeled,src/download_usgs_nwaa.py; src/run_usgs_nwaa.py,data/processed/usgs_nwaa/,acquisition route for HUC12 water-use and IWA products,Not Meta meters. No CONUS dump. Do not use after documented product end dates.,water,yes
USGS_NWAA_IWA,U.S. Geological Survey,IWA assessment outputs CONUS 2025,https://water.usgs.gov/nwaa-data/config/api/model/iwa-assessment-outputs-conus-2025.json,data/raw/usgs_nwaa/ (565 files),HUC12 (site 170703051002; local 9; same-HUC8 52),monthly,2009-10 through 2020-09,official modeled,src/build_usgs_huc12_panels.py; src/build_water_context.py,data/processed/usgs_nwaa/; data/processed/water/prineville_water_monthly_context.csv,"regional IWA streamflow, cumulative consumption, availability identity, SUI","availab = strflow - consum is an internal identity, not independent hydrologic validation. consum is cumulative upstream+local. Cannot support 2021-2024.",water,yes
USGS_NWAA_PS_CU,U.S. Geological Survey,Public-supply consumptive-use model (pscutot),https://water.usgs.gov/nwaa-data/config/api/model/wu-public-supply-cu.json,data/raw/usgs_nwaa/ (565 files),HUC12,monthly,2009-01 through 2020-12,official modeled,src/build_usgs_huc12_panels.py; src/build_water_context.py,data/processed/usgs_nwaa/; data/processed/water/prineville_water_monthly_context.csv,modeled public-supply CU context; not Meta-specific,Do not add pscutot into IWA consum. Missing after 2020-12.,water,yes
USGS_NWAA_PS_WD,U.S. Geological Survey,Public-supply withdrawals model (pswdtot/pswdgw/pswdsw),https://water.usgs.gov/nwaa-data/config/api/model/wu-public-supply-wd.json,data/raw/usgs_nwaa/ (565 files),HUC12 / HUC8 plus extra hydro-near HUC12,monthly,2000-01 through 2020-12,official modeled,src/build_usgs_huc12_panels.py; src/build_water_context.py,data/processed/usgs_nwaa/; data/processed/water/prineville_water_monthly_context.csv,modeled public-supply withdrawal context,Not City OWRD production and not Meta withdrawal. Missing after 2020-12.,water,yes
USGS_NWAA_IRR_WD,U.S. Geological Survey,Crop irrigation withdrawals model (irrwdtot),https://water.usgs.gov/nwaa-data/config/api/model/wu-irrigation-wd.json,data/raw/usgs_nwaa/ (565 files),HUC12,monthly,2000-01 through 2020-12,official modeled,src/build_usgs_huc12_panels.py; src/build_water_context.py,data/processed/usgs_nwaa/; data/processed/water/prineville_water_monthly_context.csv,modeled irrigation withdrawal context,Competing-sector context only. Missing after 2020-12.,water,yes
USGS_NWAA_IRR_CU,U.S. Geological Survey,Crop irrigation consumptive-use model (irrcutot),https://water.usgs.gov/nwaa-data/config/api/model/wu-irrigation-cu.json,data/raw/usgs_nwaa/ (565 files),HUC12,monthly,2000-01 through 2020-12,official modeled,src/build_usgs_huc12_panels.py; src/build_water_context.py,data/processed/usgs_nwaa/; data/processed/water/prineville_water_monthly_context.csv,modeled irrigation consumption context,Do not add irrcutot into IWA consum. Missing after 2020-12.,water,yes
USGS_WBD,U.S. Geological Survey,Watershed Boundary Dataset HUC12 (The National Map),https://hydro.nationalmap.gov/arcgis/rest/services/wbd/MapServer/6/query,data/canonical/usgs/huc12s_in_parent_huc10.geojson; data/canonical/usgs/meta_huc12_hydrologic_network.csv; data/canonical/usgs/meta_prineville_study_hucs.csv; data/canonical/usgs/meta_site_huc12.geojson; data/canonical/usgs/site_huc12_designation.csv; data/canonical/usgs/touching_huc12s.csv; data/canonical/usgs/touching_huc12s.geojson; package-root geography geojson (path not found locally),HUC12 polygon,current WBD service vintage used in the download,study HUC geography,official geospatial,src/build_municipal_huc12_crosswalk.py; src/usgs_nwaa_config.py,data/canonical/municipal_source_huc12_crosswalk.csv,study HUC geography and municipal well point-in-polygon,Site HUC12 170703051002 is site_point_huc12; campus polygon is unverified. Direct Facebook PODs have no coordinates.,water,yes
EIA930,U.S. Energy Information Administration,EIA-930 / Real-Time Operating Grid,https://www.eia.gov/electricity/gridmonitor/about,data/raw/eia930/historical/PACW.xlsx,balancing authority PACW,hourly,bundled workbook 2015-07-01 through reconstruction window 2024-12-31,reported BA operations; some EIA imputations flagged,src/prepare_eia930.py; optional src/download_eia930.py,data/processed/pacw_hourly.csv; outputs/eia930_series_coverage.csv,regional demand/generation/interchange context; hourly consumed CO2 intensity where present,PACW is not campus electricity. Consumed CO2 intensity begins 2018-07. Not a Meta-specific marginal-emissions model.,grid_carbon,yes
EIA_PACW,U.S. Energy Information Administration,PacifiCorp West balancing-authority dashboard,https://www.eia.gov/electricity/gridmonitor/dashboard/electric_overview/balancing_authority/PACW,data/raw/eia930/historical/PACW.xlsx,BA PACW,hourly,2015-07-01 onward in bundled workbook,reported,src/prepare_eia930.py,data/processed/pacw_hourly.csv,PACW identity for the EIA-930 extract,"Same workbook as EIA930; dashboard is the acquisition route, not a second numeric source.",grid_carbon,yes
FERC_FORM_714,Federal Energy Regulatory Commission,Form 714 Annual Electric Balancing Authority Area and Planning Area Report,https://www.ferc.gov/industries-data/electric/general-information/electric-industry-forms/form-no-714-annual-electric,data/raw/ferc_form_714/ (16 files),PacifiCorp-West BA (monthly); PacifiCorp East+West combined planning area (hourly),monthly West NEL/ops; hourly East+West Schedule 2 demand,2011-2018 annual filings present under data/raw/ferc_form_714/,reported FERC filings; West hourly reconstruction is a FERC-constrained proxy,src/prepare_ferc714.py,data/processed/ferc714/pacw_west_monthly.csv; data/processed/ferc714/pacificorp_east_west_hourly.csv; data/processed/ferc714/pacw_hourly_backcast.csv; data/processed/pacw_demand_hourly_extended.csv; outputs/ferc714_qa.csv; outputs/ferc714_eia930_validation.csv,2011-2018 reported PacifiCorp-West monthly demand/operations; East+West hourly shape; candidate pre-EIA PACW hourly proxy; EIA-930 overlap validation,"East+West hourly is not PACW-West. FERC does not provide consumed CO2 intensity, fuel mix, hourly interchange, campus electricity, or marginal emissions. Does not replace data/processed/pacw_hourly.csv.",grid_carbon,no
