prior_id,parameter,value,units,technology,source_id,kind,confidence,notes
E1,ASHRAE_liquid_class_AI,W45,ASHRAE class,liquid IT,LBNL2024_REPORT,ENGINEERING_PRIOR,medium,Table 4.3
E2,n_lhs_operational_scenarios,50,count,lineage models,LBNL2024_REPORT,ENGINEERING_PRIOR,high,Lei 2022/2025
E3,PUE_definition,E_fac/E_IT,1,all,LEI2025_PAPER,ENGINEERING_PRIOR,high,Green Grid
E4,WUE_site_model_definition,onsite_conditioning_use/E_IT,L/kWh,all,LEI2025_PAPER,ENGINEERING_PRIOR,high,includes humidification/adiabatic; towers add evap+windage+draw-off
E5,liquid_subtype_map,15_1/16_1 RDHX; 15_2/16_2 cold plate; 15_3/16_3 immersion,categorical,liquid IT,LEI2025_RMD,ENGINEERING_PRIOR,high,authors' SI R code
E6,PRN1_ECH_evap_fraction_of_mist,0.85,1,OA evaporative,OCP_2012,ENGINEERING_PRIOR,medium,operator; 15% recaptured
E7,PRN1_RO_product_share,0.75,1,OA evaporative,OCP_2012,ENGINEERING_PRIOR,medium,25% RO reject blown down
E8,Prineville_2011_no_chiller_no_tower,OA evaporative only,n/a,airside evaporative,META_ENGINEERING_2011,ENGINEERING_PRIOR,high,initial epoch only
E9,chiller_supplemental_in_Lei_economizer_names,parentheses,n/a,economizer systems,LBNL2024_REPORT,ENGINEERING_PRIOR,high,Table 4.2 note
E10,equal_weight_name,DESIGN_PRIOR_UNIFORM,n/a,proxy API,this_module,ENGINEERING_PRIOR,high,not empirical frequencies
