paper_case,size_class,paper_cooling_configuration,top_level_code_function,shared_function_with_other_case,humidifier_type,economizer_type,chiller_type,cooling_tower_present,paper_parameter_source,parameter_range_source,expected_climate_zones,n_required_code_inputs_excluding_climate,n_active_table3_mapped,missing,notes,confidence
1,large-scale,Airside economizer + adiabatic cooling + (water-cooled chiller),PUE_WUE_AE_Chiller,,adiabatic,airside,water-cooled,True,Lei-Masanet 2022 preprint Table 2 (cases) / Table 3 (ranges); bundled UE.xlsx for 15 zones,preprint Table 3; final Elsevier PDF not OA (Unpaywall is_oa=false),15 zones in UE.xlsx (not preprint '16'),29,29,,Code comment: Hyperscale DCs using adiabatic cooling.,high
2,large-scale,Waterside economizer + (water-cooled chiller),PUE_WUE_Chiller_Watereconomier,,adiabatic,waterside,water-cooled,True,Lei-Masanet 2022 preprint Table 2 (cases) / Table 3 (ranges); bundled UE.xlsx for 15 zones,preprint Table 3; final Elsevier PDF not OA (Unpaywall is_oa=false),15 zones in UE.xlsx (not preprint '16'),33,33,,Code comment: Hyperscale DCs with cooling tower waterside economizer.,high
3,midsize,Airside economizer + (water-cooled chiller),PUE_WUE_AE_Chiller_Colo,,adiabatic,airside,water-cooled,True,Lei-Masanet 2022 preprint Table 2 (cases) / Table 3 (ranges); bundled UE.xlsx for 15 zones,preprint Table 3; final Elsevier PDF not OA (Unpaywall is_oa=false),15 zones in UE.xlsx (not preprint '16'),29,29,,Code comment: Colo DCs with no adiabatic cooling (airside economizer helper has no adiabatic spray).,high
4,midsize,Waterside economizer + (water-cooled chiller),PUE_WUE_WE_Chiller_Colo,,adiabatic,waterside,water-cooled,True,Lei-Masanet 2022 preprint Table 2 (cases) / Table 3 (ranges); bundled UE.xlsx for 15 zones,preprint Table 3; final Elsevier PDF not OA (Unpaywall is_oa=false),15 zones in UE.xlsx (not preprint '16'),33,33,,Code comment: Colo DCs with WE. demo.ipynb uses this function.,high
5,midsize,Water-cooled chiller,PUE_WUE_Chiller,8,adiabatic,none,water-cooled,True,Lei-Masanet 2022 preprint Table 2 (cases) / Table 3 (ranges); bundled UE.xlsx for 15 zones,preprint Table 3; final Elsevier PDF not OA (Unpaywall is_oa=false),15 zones in UE.xlsx (not preprint '16'),30,30,,Same top-level function as case 8; midsize vs small Table 3 ranges.,high
6,midsize,Airside economizer + (air-cooled chiller),PUE_WUE_AE_AIRChiller,,adiabatic,airside,air-cooled,False,Lei-Masanet 2022 preprint Table 2 (cases) / Table 3 (ranges); bundled UE.xlsx for 15 zones,preprint Table 3; final Elsevier PDF not OA (Unpaywall is_oa=false),15 zones in UE.xlsx (not preprint '16'),21,21,,,high
7,midsize,Air-cooled chiller,PUE_WUE_AIRChiller,9,adiabatic,none,air-cooled,False,Lei-Masanet 2022 preprint Table 2 (cases) / Table 3 (ranges); bundled UE.xlsx for 15 zones,preprint Table 3; final Elsevier PDF not OA (Unpaywall is_oa=false),15 zones in UE.xlsx (not preprint '16'),21,21,,Same top-level function as case 9; midsize vs small Table 3 ranges.,high
8,small,Water-cooled chiller,PUE_WUE_Chiller,5,isothermal_in_paper_table2_but_code_uses_humidification_pump,none,water-cooled,True,Lei-Masanet 2022 preprint Table 2 (cases) / Table 3 (ranges); bundled UE.xlsx for 15 zones,preprint Table 3; final Elsevier PDF not OA (Unpaywall is_oa=false),15 zones in UE.xlsx (not preprint '16'),30,30,,"Table 2 lists isothermal humidification; Table 3 still supplies humidification-pump pressure/efficiency for case 8. Public code PUE_WUE_Chiller uses Pump_Power(hd_amount), not DX-style Power_hd=Q_latent. Water Eq. (9) is humidifier-type invariant per the paper.",medium
9,small,Air-cooled chiller,PUE_WUE_AIRChiller,7,isothermal_in_paper_table2_but_code_uses_humidification_pump,none,air-cooled,False,Lei-Masanet 2022 preprint Table 2 (cases) / Table 3 (ranges); bundled UE.xlsx for 15 zones,preprint Table 3; final Elsevier PDF not OA (Unpaywall is_oa=false),15 zones in UE.xlsx (not preprint '16'),21,21,,Same humidifier caveat as case 8. Function shared with case 7.,medium
10,small,Direct expansion system,PUE_WUE_DX,,isothermal,none,DX,False,Lei-Masanet 2022 preprint Table 2 (cases) / Table 3 (ranges); bundled UE.xlsx for 15 zones,preprint Table 3; final Elsevier PDF not OA (Unpaywall is_oa=false),15 zones in UE.xlsx (not preprint '16'),14,14,,Power_hd = Q_heat_latent/1 is the isothermal-style energy term. Humidification pump is n/a in Table 3.,high
