event_id,date_start,date_end,date_precision,entity_id,boundary_id,event_type,description,source_doc_id,source_locator,model_use,confidence,notes
EV001,2009-11-24,2009-11-24,day,VITESSE_LLC,,identity,"Project Vitesse formalized as Vitesse, LLC in City record",CITY_RES1117_2009,Recitals,chronology_context,VERY_HIGH,
EV002,2009-12-16,2009-12-16,day,VITESSE_LLC,,infrastructure_agreement,City/Crook County/Vitesse infrastructure agreement executed,CITY_RES1122_2009,Recital B,chronology_context,VERY_HIGH,Underlying agreement remains missing.
EV003,2010-01-01,2010-12-31,year,VITESSE_LLC,PRN_UNRESOLVED,electric_service,First MESA executed; Schedule 48 service began shortly thereafter,OPUC_UE463_VITESSE_2026,Coyle/2,service_chronology,VERY_HIGH,Post-study-window testimony about historical service.
EV004,2014-01-01,2014-04-30,early_year,PRN_CAMPUS,PRN,campus_buildout,Four initial PRN data-center buildings were being constructed/brought online,OPUC_UM1989_VITESSE_2018,application p.3,chronology_context,VERY_HIGH,Approximate early-2014 timing from source wording.
EV005,2015-08-26,2015-08-26,day,VITESSE_LLC,,planned_facility,"LTEZ agreement for an approximately 200,000 ft2 data-center facility",CITY_RES1271_2015,Recital B,chronology_context,VERY_HIGH,Building mapping unresolved; do not force into a PRN/CCO epoch.
EV006,2017-12-05,2017-12-05,day,VITESSE_LLC,CITY_SERVICE,water_sewer_agreement,"Development, Water and Sewer Service Agreement entered",CITY_ORD1242_2018,Recitals,legal_chronology,VERY_HIGH,Executed underlying agreement/exhibits still missing.
EV007,2018-08-07,2018-08-07,day,VITESSE_LLC,CITY_SERVICE,water_sewer_amendments,City Council ratified/approved first and second amendments,CITY_ORD1242_2018,ordinance,legal_chronology,VERY_HIGH,Executed amendments/exhibits still missing.
EV008,2018-09-20,2018-09-20,day,CCO_CAMPUS,CCO,campus_announcement,Crook County Campus announced with two initial buildings,OPUC_UM1989_VITESSE_2018,application p.3,chronology_context,VERY_HIGH,Announcement is not commissioning.
EV009,2018-09-25,2018-09-25,day,PRN_CAMPUS,PRN,campus_map,City ordinance map identifies PRN1-PRN6,CITY_ORD1246_2018,Exhibit A,identity_chronology,VERY_HIGH,
EV010,2019-10-15,2019-10-15,day,CCO1_CCO2,CCO,construction_state,CCO1&2 H-style building and utility facilities reported under construction,CITY_CU2019_111,site description,chronology_context,VERY_HIGH,"Construction state, not commissioning."
EV011,2021-09-21,2021-09-21,day,PRN1_MODERNIZATION,PRN,planning,PRN1 Network Core Addition project documented in planning application,CITY_CU2021_110_APP,application/drawings,chronology_context,VERY_HIGH,Permit package already in repo supplies later completion evidence.
EV012,2022-04-12,2022-04-12,day,VITESSE_LLC,CITY_SERVICE,water_resiliency_agreement,Vitesse waterline resiliency development agreement approved; no additional capacity authorized,CITY_RES1518_STAFF_2022,excerpt p.1,water_network_event,VERY_HIGH,Infrastructure/resiliency event only.
EV013,2023-07-11,2023-07-11,day,VITESSE_LLC,CITY_SERVICE,water_resiliency_amendment,Waterline project amended to 70/30 Vitesse/Apple cost share with Vitesse ASR contribution; no additional capacity reservation,CITY_RES1570_STAFF_2023,excerpt p.1,water_network_event,VERY_HIGH,Infrastructure/resiliency event only.
