lei2022_paper_case,lei2022_code_function,lei2025_case,lei2025_label,tech_id,source_scope_status,lbnl2024_table42,mapping,confidence,rationale,uncertainty
7,PUE_WUE_AIRChiller,"4,10",Air-cooled chiller,ACC,PAPER_CORE,Air-cooled chiller,equivalent,high,no economizer air-cooled,size split
6,PUE_WUE_AE_AIRChiller,0,Airside economizer& adiabatic cooling (air-cooled chiller),AE_AD_ACC,PAPER_CORE,Airside economizer & adiabatic cooling,equivalent,medium,AE+adiabatic+AC,Lei supplemental chiller vs Prineville no-chiller
3,PUE_WUE_AE_Chiller_Colo,1,Airside economizer (water-cooled chiller),AE_WCC,PAPER_CORE,Airside economizer,approximate,medium,midsize AE+WC,numbering
1,PUE_WUE_AE_Chiller,6,Airside economizer& adiabatic cooling (water-cooled chiller),AE_AD_WCC,PAPER_CORE,Airside economizer & adiabatic cooling,equivalent,high,large AE+adiabatic+WC,size
10,PUE_WUE_DX,"5,11",Direct expansion system,DX,PAPER_CORE,DX mentioned; not Table 4.2 focus,equivalent,high,DX,
5,PUE_WUE_Chiller,"3,9",Water-cooled chiller,WCC,PAPER_CORE,Water-cooled chiller,equivalent,high,WC no economizer,
2/4,PUE_WUE_Chiller_Watereconomier / WE_Chiller_Colo,"7,8",Waterside economizer (water-cooled chiller),WE_WCC,PAPER_CORE,Waterside economizer,equivalent,high,WE+WC,size split
NA,NOT IN 2022 PUBLIC CODE,15_1/2/3,IT Liquid cooling: waterside economizer (water-cooled chiller),LIQ_WE_WCC,PAPER_CORE,IT liquid cooling: waterside economizer,equivalent_to_lbnl_label,high,CSV Case 15 = WE liquid; subtypes via original IDs,hourly engine not public
NA,NOT IN 2022 PUBLIC CODE,16_1/2/3,IT Liquid cooling: dry cooler with adiabatic assist (air-cooled chiller),LIQ_DRY_AD,PAPER_CORE,IT liquid cooling: dry cooler with/without adiabatic,equivalent_to_lbnl_label,high,CSV Case 16 = dry/adiabatic liquid,hourly engine not public
NA,NOT IN 2022 PUBLIC CODE,17,Dry cooler (air-cooled chiller),DRY_ACC,SOURCE_EXTRA_EXTENDED,Dry cooler with or without adiabatic assist,approximate,medium,CSV present; excluded from paper ten / Rmd figures,not equivalent to paper-core
NA,NOT IN 2022 PUBLIC CODE,18,Dry cooler with adiabatic assist (air-cooled chiller),DRY_AD_ACC,SOURCE_EXTRA_EXTENDED,Dry cooler with adiabatic assist,approximate,medium,CSV present; Rmd Case 18 filter,not equivalent to paper-core
NA,,"12,13,14",(absent),,ABSENT_FROM_PUBLIC_CSV,,not-comparable,high,integers missing from UEs_16cases.csv; Rmd also filters them,
