claim_id,claim,source_id,status,design_not_measurement
FRC1_OPEN_2012_04_19,FRC1 operational 2012-04-19,META_FC_OPENING_2012_04_19,VALIDATED,False
IT_DELTA_T_35F_DESIGN,IT design rise 35F,MAGUIRE_2011_OCP_REFLECTIONS,IDENTIFIED_DESIGN_SPEC,True
FACILITY_EFFECTIVE_DELTA_T,facility-effective DeltaT,,UNIDENTIFIED,True
ENVELOPE_85F_90RH,85F / 90% RH envelope,OCP_2013_HOT_HUMID,SUPPORTED,False
EVENT_2012_06_25_MIXING,high-RH mixing 2012-06-25,OCP_2013_HOT_HUMID,VALIDATED,False
EVENT_2012_07_01_EVAP,evaporative 2012-07-01; DX unused,OCP_2013_HOT_HUMID,VALIDATED,False
SUMMER_2012_DX_UNUSED,DX unused summer 2012,OCP_2013_HOT_HUMID,SUPPORTED,False
PUE_1_07_SUMMER,seasonal PUE 1.07 summer 2012,OCP_2013_HOT_HUMID,ENGINEERING_BOUNDED,False
DASHBOARD_NUMERIC,dashboard PUE/WUE time series,FBPUEWUE_DASHBOARD_WAYBACK,UNIDENTIFIED,False
WUE_NUMERATOR,cooling WUE numerator/meter,,UNIDENTIFIED,True
MUNICIPAL_INDUSTRIAL_IS_META,LWSP industrial class = Meta,NC_LWSP_FC_2023,FAILED_IF_ASSERTED,True
CAMPUS_WITHDRAWAL_IS_COOLING,campus withdrawal = cooling water,META_EDI_ANNUAL_ELECTRICITY_WATER,UNIDENTIFIED,True
2024_KWH_IS_2012_FRC1,2024 campus electricity = 2012 FRC1,META_EDI_ANNUAL_ELECTRICITY_WATER,FAILED_IF_ASSERTED,True
MEMBRANE_EPOCH_DATE,membrane vs misters dated cooling epoch,ITNEWS_MCCAMMON_FC,UNIDENTIFIED,True
SPLC_AT_FOREST_CITY,SPLC deployed at Forest City,,UNIDENTIFIED,True
TAB_CFM,as-operated CFM / SAT / RAT,,UNIDENTIFIED,True
