model_id,model_name,model_class,code_path,what_it_does,equations,inputs,outputs,parameters_priors,parameter_provenance,training_period,holdout_period,selection_rule,is_prediction,notes
M_GRAYBOX,Prineville gray-box air-side physics,physics/accounting,src/prineville_graybox.py,"Maps a supplied IT-power trace and hourly weather to facility power, PUE, cooling mode, and raw evaporative water. Does not infer IT power from annual totals.","m_air = P_IT×1e6 / (c_p × ΔT_server); t_full = t_db − ε max(t_db−t_wb,0); t_supply = t_db if t_db≤T* else T* if t_full≤T* else t_full; W_evap_kg/s = m_air × max(w_s−w_o,0) at constant moist-air enthalpy; m³/h = kg/s × 3.6; p_fan=0.025 P_IT; p_other=0.035 P_IT; p_evap_aux=0.005 P_IT × spray; P_fac = P_IT+p_fan+p_other+p_evap_aux; PUE=P_fac/P_IT.","weather_hourly.csv (t_db, t_wb, rh, pressure); P_IT scenario or fitted scale","p_it_mw, p_fan_mw, p_other_mw, p_evap_aux_mw, p_fac_mw, pue, t_supply_C, evap_water_m3_per_h, cooling_mode","supply_target_C=25; return_air_C=35 (declared, unused in simulate); evap_effectiveness=0.85; server_deltaT_C=12; dry_air_cp=1006; fan_fraction=0.025; other_fraction=0.035; evap_aux=0.005×spray",code priors chosen to leave room for ~1.07 mild-weather PUE after evaporative auxiliaries; not reported Meta facts. 2011 article supports evaporative outside-air / no-chiller class.,none (not statistically trained),n/a,n/a,no,"Scaffold, not a digital twin. psychrolib used when installed; otherwise Buck + ASHRAE-form enthalpy. PRN1 late-2023/early-2024 permit evidence is not used to change these priors or to add a cooling breakpoint."
M_ELEC_CLOSURE,Annual facility-electricity closure (latent IT scale),reconstruction,src/conditional_reconstruction.py::reconstruct,"For each year, choose one constant IT-power scale so the gray-box annual facility energy equals Meta-reported MWh. This is calibration closure, not electricity prediction.","P_IT_y = E_fac,y^{reported} / sum_t P_fac(weather_t, P_IT=1 MW)",meta_prineville_annual.electricity_mwh_reported; weather_hourly; Params,"hourly p_it_mw, p_fac_mw; electricity_mwh_model_closure; it_energy_mwh_fitted; annual_pue_model",inherits gray-box Params,see M_GRAYBOX,all years 2011-2024 are closed (no electricity holdout),none for electricity,n/a,no — exact annual closure by construction,Never report the ~0 residual as predictive accuracy.
M_WATER_SCALE_GLOBAL,Conditional water: global log-scale on raw evaporation,estimation,src/conditional_reconstruction.py::select_water_scale_model,Fit one multiplicative scale s on training years with observed withdrawal via geometric mean of W_obs/W_raw. Apply frozen s to all years including holdout.,s = exp(mean log(W_obs/W_raw)); W_hat = s × W_raw; log SSE used for BIC,annual water_raw_m3; water_withdrawal_m3_reported,water_scale_fitted_train_only; water_pred_m3; water_pct_error,s_hat = 6.580050701752435 in current outputs/conditional_water_model.csv,fitted on train years with water (2014-2022),through 2022 (years with positive raw and observed water),2023-2024,"BIC vs one-break; require BIC improvement > 2 to prefer one-break. Current selection: global, BIC=-15.38",yes for holdout annual water; in-sample for train,Selected over the one-break alternative. Holdout errors are large and must be reported prominently.
M_WATER_SCALE_ONEBREAK,"Conditional water: one-break log-scale (candidate, not selected)",estimation,src/conditional_reconstruction.py::select_water_scale_model,Optional two-scale model with a break year; 3 effective parameters (two scales + break). Not selected on current training data.,"s_pre, s_post geometric means on segments; BIC = n log(SSE/n) + 3 log n",same as global scale,not used in current water_pred_m3,not selected,would be train-only if selected,through 2022,2023-2024 (unused because not selected),BIC; min_segment_years=3; require modest evidence over global,n/a (not selected),"A selected break would still be statistical only, not a physical technology-change claim."
M_WATER_ENERGY_NULL,Annual water candidate: energy-only (selected),prediction,src/stochastic_conditional_simulation.py::select_train_only_water_model,No-intercept nonnegative regression of annual withdrawal on reported facility MWh. Selected by expanding-window one-step MAPE on train.,W = β_E × E_fac; β_E from NNLS,electricity_mwh_reported; water_withdrawal_m3_reported,water_train_only_pred_m3_*; selected flag in stochastic_proxy_water_model_diagnostics.csv,β_E = 0.3643056183103121 m³/MWh in current diagnostics,NNLS on 2014-2022 (after selection freeze),2014-2022,2023-2024,expanding-window one-step MAPE among pre-registered candidates; ties broken by fewer coefficients then name,yes,Current expanding-window train MAPE 34.25%; holdout MAPE 100.11%. Frozen coefficients; holdout mutation invariance check PASS.
M_WATER_EVAP_PHYS,Annual water candidate: evaporation-only,prediction,src/stochastic_conditional_simulation.py,No-intercept nonnegative regression of annual withdrawal on ensemble-median raw evaporation.,W = β_v × W_raw_median,raw_evap_m3_median; water_withdrawal_m3_reported,diagnostics row evap_physics (not selected),β_v = 5.847440762862596 in current diagnostics (not used for selected predictions),NNLS on train; not selected,2014-2022,2023-2024 (not used for this unused model),same expanding-window MAPE; score 45.47% (worse than energy_null),candidate only,Not selected. Do not present as the pipeline's water forecast.
M_WATER_TWOCOMP,Annual water candidate: nonnegative energy + evaporation,prediction,src/stochastic_conditional_simulation.py,"NNLS on E_fac and raw evaporation. Current fit zeros the evaporation coefficient, collapsing to energy_null.",W = β_E E_fac + β_v W_raw; β≥0,electricity_mwh_reported; raw_evap_m3_median,diagnostics row two_component (not selected),β_E=0.3643; β_v=0.0 in current diagnostics,NNLS on train; not selected (higher rolling MAPE 43.16%),2014-2022,2023-2024,expanding-window one-step MAPE,candidate only,NNLS dropped evaporation; still not selected because rolling MAPE is worse than the one-coefficient energy model.
M_STOCHASTIC,Stochastic conditional proxy (mixed Cox),generative simulation,src/stochastic_conditional_simulation.py,"Generative scenario: Cox-process arrivals, AR log-intensity, Poisson counts, Gamma work sizes, aggregate queue, utilization→IT shape, annual facility-energy scaling, sampled overhead priors, retrospective water-shape mixture, optional PACW carbon shape. Not recovered telemetry and not a general forecasting model.","latent AR(1) on log-intensity; Poisson arrivals; Gamma compounding; queue recursion; P_IT = scale × shape; E_fac closed annually; water shape = mix(evap, IT, uniform)",weather coefficients from gray-box unit response; Meta annual electricity/water/Scope 2; optional PACW,stochastic_proxy_annual_summary.csv; ensemble draws; checks,"seed 20260812; 32 sims/year; mixed_cox; overhead total ~ N(0.065,0.009) clipped; water-shape evap_share ~ N(0.52,0.10)","scenario priors, not identified from traces",water model train through 2022; electricity/Scope 2 closed every year,2023-2024 for predictive water only,water candidate selection as M_WATER_ENERGY_NULL,only the selected annual water model is a prediction; the rest is scenario/closure,Default carbon allocates annual location Scope 2 in proportion to facility energy unless --use-pacw-shape.
M_EGRID_BENCH,eGRID NWPP × Meta MWh physical benchmark,benchmark,src/prepare_egrid.py,"Methodology/accounting consistency benchmark: Meta campus MWh times eGRID NWPP output rate versus Meta reported location Scope 2. Not electricity prediction, not a Meta-specific marginal model, and not fully independent external validation (both sides use the same Meta MWh and related inventory geography).",CO2_y = E_y^{Meta} × EF_y^{NWPP} / 2204.6226218487757 lb per t,meta electricity; eGRID subregion rates; Power Profiler ZIP 97754,egrid_prineville_annual.csv; egrid_meta_annual_compare.csv,vintage map in SOURCE_INSTRUCTIONS.md / prepare_egrid.py,EPA eGRID vintages,n/a,n/a,ZIP uniquely NWPP,no,"Compare to Meta location Scope 2 where disclosed. 2011 eGRID tonnes are labeled eGRID_location_based_accounting_proxy because Meta Scope 2 is not separately disclosed. This is an accounting-method consistency check, not independent campus carbon telemetry. Market/REC not used."
M_PACW_CI,PACW EIA consumed-CO2 relative hourly shape,reconstruction,src/stochastic_conditional_simulation.py::build_pacw_relative_carbon_shape,Optional relative within-year carbon shape from PACW consumed intensity. Annual Meta location Scope 2 is still closed. Not campus telemetry.,relative shape from CI_consumed; scale so annual tCO2e matches reported location Scope 2,pacw_hourly.co2_intensity_consumed; Meta annual Scope 2; facility power,location_intensity_proxy_kg_per_mwh when --use-pacw-shape,none,EIA-930,n/a,n/a,prefer EIA consumed intensity when present; else fuel/import proxy,no,Coverage from 2018-07 for consumed intensity; demand from 2015-07.
