quantity,value_low,value_high,units,condition,boundary,prineville_wording,source_id
server_CFM_Intel,12,103,CFM_per_server,idle_to_100pct_loading_at_stated_pressure_drop,SERVER_NOT_FACILITY_BMS,"triplet figures based on observations at our facility in Prineville, OR",OCP_CHASSIS_TRIPLET_V1
server_CFM_AMD,14,106,CFM_per_server,idle_to_100pct_loading_at_stated_pressure_drop,SERVER_NOT_FACILITY_BMS,"triplet figures based on observations at our facility in Prineville, OR",OCP_CHASSIS_TRIPLET_V1
rack_CFM_mixed_90_servers,1116,9324,CFM_per_triplet_rack,72_Intel_plus_18_AMD;_Intel_864_to_7416_plus_AMD_252_to_1908,RACK_NOT_FACILITY_BMS,"triplet figures based on observations at our facility in Prineville, OR",OCP_CHASSIS_TRIPLET_V1
expected_max_rack_CFM,5400,5400,CFM_per_triplet_rack,max_CFM_expected_less_than_60_per_server_almost_every_loading;_4500_rpm;_60*90,RACK_ENGINEERING_EXPECTED_MAX_NOT_FACILITY_BMS,"triplet figures based on observations at our facility in Prineville, OR",OCP_CHASSIS_TRIPLET_V1
rack_configuration,90,90,servers_per_triplet,three_42U_columns_x_30_servers;_2_ToR_switches;_72_Intel_18_AMD,HARDWARE_CONFIG,Open Compute Project servers racked into triplets,OCP_CHASSIS_TRIPLET_V1
inlet_temperature_server,18.33,35.0,degC,65F_to_95F_server_level,SERVER_INLET_SPEC,thermal specifications table,OCP_CHASSIS_TRIPLET_V1
inlet_temperature_rack,18.33,29.44,degC,65F_to_85F_rack_level,RACK_INLET_SPEC,thermal specifications table,OCP_CHASSIS_TRIPLET_V1
humidity_and_dewpoint,30,65,RH_pct_approx;_DP_41.9F_min_to_59F;_SAT_64.4F_to_80.6F,regional_climate_where_the_data_center_operates,DESIGN_PSYCHROMETRIC_NOT_TELEMETRY,Based on regional climate conditions where the data center operates,OCP_CHASSIS_TRIPLET_V1
Intel_CPU_TDP_max,60,95,W_per_CPU,two_Xeon_5500_or_5600;_motherboard_max_TDP_95W,CPU_TDP_NOT_SERVER_POWER,same_generation_Intel_motherboard_v1.0,OCP_INTEL_MB_V1
PSU_nameplate,450,450,W_per_server_PSU,OCP_v1_450W_PSU_spec_nameplate,NAMEPLATE_NOT_OPERATING_LOAD,same_generation_power_supply_spec,OCP_PSU_V1
