source_id,title,authors,year,DOI,URL,local_path,commit,SHA256,license,evidence_class,raw_data_availability,code_availability,measured_vs_modeled,geography,climate,temporal_resolution,technologies_covered,energy_boundary,water_boundary,independence_lineage,relevance,limitations,confidence,source_origin
LEI2025_GITHUB,The Water Use of Data Center Workloads — public SI data and code,"Lei, Lu, Shehabi, Masanet",2025,10.1016/j.resconrec.2025.108310,https://github.com/nuoaleon/The-Water-Use-of-Data-Center-Workloads-A-Review-and-Assessment-of-Key-Determinants,sources/lei2025/upstream,155b0216f4bfc20679310360e9966a65951712d0,see file-level hashes in PROVENANCE.json,not stated in README,SAME_LEI_MASANET_LINEAGE,YES_CSV_XLSX,ANALYSIS_RMD_AND_NOTEBOOK_NOT_HOURLY_SIMULATOR,MODELED_annual_scenario_pairs,US IECC/ASHRAE climate zones (19 labels in UEs including 0A/0B),19 zones,annual scenario (50 realizations per subcase×climate),12 cooling labels; liquid subcases 15_1–16_3; dry cooler 17–18,PUE = facility electricity / IT electricity,WUE-site = onsite conditioning water / IT electricity (L/kWh),Same physics lineage as Lei-Masanet 2022 / LBNL 2024 cooling model; not independent validation of that lineage,PRIMARY machine-readable joint PUE/WUE proxy,Hourly simulator for liquid cases not in this repo; WUE is not withdrawal/groundwater,HIGH for source semantics of bundled CSV; MEDIUM as generic truth,GIT_CLONE
LEI2025_UES16,UEs_16cases.csv,Lei et al. 2025 SI,2025,10.1016/j.resconrec.2025.108310,https://github.com/nuoaleon/The-Water-Use-of-Data-Center-Workloads-A-Review-and-Assessment-of-Key-Determinants/blob/main/data/UEs_16cases.csv,sources/lei2025/UEs_16cases.csv,155b0216f4bfc20679310360e9966a65951712d0,4924fdb451dfefc433b4de375322dadbbf5fb056876c12e5cc1a913d5cf4c031,not stated,SAME_LEI_MASANET_LINEAGE,YES,quantile construction in SI Supporting Code.Rmd,MODELED,US climate zones,0A–8,annual,see taxonomy,PUE,WUE-site,Lei-Masanet,scenario-level joint observations,19000 rows; Case 15/16 pool 3 liquid subtypes,HIGH as SI data file,USER_PROVIDED_COPY_IDENTICAL_TO_GIT
LEI2025_PAPER_USER_PDF,The water use of data center workloads: A review and assessment of key determinants,"Lei, Lu, Shehabi, Masanet",2025,10.1016/j.resconrec.2025.108310,https://escholarship.org/uc/item/1vx545q7,references/core/The water use of data center workloads A review and assessment of key determinants.pdf,,d87ee9e0c99b8d17004759ea57c08e82c19191f9bd32c94d6ada0d2b39fd18c8,CC BY 4.0 (eScholarship/OSTI record),REVIEW_ONLY plus SAME_LEI_MASANET_LINEAGE simulations,SI GitHub preferred over digitizing figures,GitHub SI,MODELED_plus_review,global discussion; US climate simulations,19 zones stated in paper,annual averages,ten cooling clusters in Fig. 4; liquid includes RDHX/cold-plate/immersion,PUE,WUE-site and WUE-source (grid water) distinguished,Lei-Masanet,definitions and liquid-cooling qualitative claims,User PDF not byte-compared to Elsevier typeset PDF; eScholarship OA PDF exists. Do not silently substitute.,HIGH for definitions; MEDIUM for any typeset number not in CSV,USER_PROVIDED_REFERENCE
LEI2022_PREPRINT,Climate- and Technology-Specific PUE and WUE Predictions (Research Square preprint rs.3.rs-769999/v1),"Lei, Masanet",2021,10.21203/rs.3.rs-769999/v1,https://doi.org/10.1016/j.resconrec.2022.106323,references/core/Climate-_and_Technology-Specific_PUE_and_WUE_Predi.pdf,2cc53bee89b0a61bdad10c02b4d170d7f673e2dc,ea2136303b0a38b7db896a095494b90d0b36f011cf3558074fcf263ad42268f3,preprint,SAME_LEI_MASANET_LINEAGE,UE.xlsx in nuoaleon/Data-Center-Water-footprint (masanet tree; not copied here),simulation_funs_DC.py public clone,MODELED,US,15 zones in UE.xlsx vs 16 in preprint text,hourly TMY inside model; published table annual 5th/95th,10 paper cases / 8 code functions; air-cooled IT,PUE,onsite use WUE,Lei-Masanet 2022,hourly simulator exists for 2022 air-IT archetypes only,User file is preprint not Elsevier 2022 typeset article. Annual envelope reproduction is a separate masanet experiment — not rerun here.,HIGH for lineage; PARTIAL for published envelopes (masanet V1 FAIL / V2 running),USER_PROVIDED_REFERENCE
LBNL2024_REPORT,2024 United States Data Center Energy Usage Report,"Shehabi, Smith, Hubbard, Newkirk, Lei, Siddik, Holecek, Koomey, Masanet, Sartor",2024,10.2172/2530048,https://eta.lbl.gov/publications/2024-lbnl-data-center-energy-usage-report,references/core/lbnl-2024-united-states-data-center-energy-usage-report.pdf,,791f95feb348b406f0817bca11a65a9147883ade988c7426ebc4e28bfe35a3c5,US government report,SAME_LEI_MASANET_LINEAGE,NO public million-simulation CSV found; report cites >1e6 simulations and Fig 4.4 ranges only,NOT FOUND as public hourly simulator for 2024 liquid cases,MODELED then industry-adjusted (report text),US 965 TMY stations,CONUS weather stations,annual averages from hourly TMY,Table 4.2 nine major systems including liquid+dry and liquid+WE,PUE; also UPS/lighting,WUE (site); report also discusses source WUE,Explicitly employs Lei and Masanet 2022/2020 simulation models (Section 4),stock-level PUE/WUE and cooling mix; liquid AI classes,Underlying simulation dataset not public; ranges in figures not digitized; industry adjustment means not pure physics output,HIGH as authoritative report; LOW as independent empirical validation,USER_PROVIDED_REFERENCE
EU_COC_BPG,Best Practice Guide for the EU Code of Conduct on Data Centre Energy Efficiency,"European Commission / JRC (Acton, Bertoldi, et al. depending on edition)",edition in PDF,,https://e3p.jrc.ec.europa.eu/communities/data-centres-code-conduct,references/core/best-practice-guide-data-center-design_0.pdf,,f4db5c015154933482e84f1946dcafc297d8ad526db90d2985df35232d8ab0c2,EU publication,ENGINEERING_STANDARD,NO telemetry,NO,RECOMMENDED practices,"EU-oriented, globally cited",not a climate table,n/a,"air, economizer, liquid cooling practices",facility energy efficiency practices,limited; not a WUE dataset,independent of Lei code,"engineering priors / expected practice, not field WUE",not measured PUE/WUE distributions,"MEDIUM as prior, not validation",USER_PROVIDED_REFERENCE
LEI2022_PUBLIC_CODE,nuoaleon/Data-Center-Water-footprint,Lei,2022,10.1016/j.resconrec.2022.106323,https://github.com/nuoaleon/Data-Center-Water-footprint,../masanet/external/Data-Center-Water-footprint (DO NOT COPY INTO THIS MODULE),2cc53bee89b0a61bdad10c02b4d170d7f673e2dc,,none in clone,SAME_LEI_MASANET_LINEAGE,UE.xlsx annual 5th/95th,YES hourly Python archetypes (air-IT),MODELED,US TMY3 representative cities,15 zones in UE.xlsx,hourly in code; annual in UE.xlsx,8 functions; no liquid IT,PUE,onsite WUE components,Lei-Masanet 2022,only public hourly physical simulator identified,annual published envelopes not fully reproduced in masanet V1; V2 running; do not rerun here,HIGH as code existence; PARTIAL as published-table match,EXISTING_PROJECT_CLONE
M100_FROZEN,CINECA Marconi100 measured facility energy (project closure),CINECA / EuroHPC public traces as used in this project,2021,,,../m100 (frozen),,,,MEASURED_INDEPENDENT,processed in m100 module,n/a,MEASURED energy,Italy,site,hourly,HPC facility cooling; not generic DC catalog,facility IT + cooling + aux meters,UNSUPPORTED,independent of Lei,structure P_fac=P_IT+P_cool+P_aux; weather additive; PUE derived,coefficients not transferable; no WUE,"HIGH for structure, UNSUPPORTED for WUE",EXISTING_PROJECT
FRONTIER_ORNL,Frontier HPC & Facility Data (ORNL),ORNL,2023,,,../masanet/external/frontier (do not modify),,,,MEASURED_INDEPENDENT,xlsx in masanet tree,n/a,MEASURED energy/thermal,"Oak Ridge, TN",4A-class humid subtropical (site),10-minute / hourly aggregates,direct liquid-cooled supercomputer + facility loops,compute vs facility PUE reconstruction,NOT a site WUE meter in the public extract used here,independent of Lei,liquid IT heat capture energy behavior; not Lei WUE validation,one site; thermal check is published-formula; no conditioning-water time series used,HIGH for IT-load effect on accessory power; UNSUPPORTED for WUE,EXISTING_PROJECT
META_ENGINEERING_2011,Designing a Very Efficient Data Center,Meta/Facebook engineering,2011,,https://engineering.fb.com/2011/04/14/core-infra/designing-a-very-efficient-data-center/,cited via Meta_Prineville_Oregon_v3/SOURCE_INSTRUCTIONS.md,,,,OPERATOR_SELF_REPORTED,design point only,n/a,DESIGN / SELF_REPORTED,"Prineville, OR",5B high desert (IECC),design point,100% outside-air evaporative cooling; no chiller; no cooling tower,stated full-load PUE 1.07,"stated WUE 0.31 L/kWh (design, not 2023-2024 measured water)",operator; not Lei,Prineville initial-epoch identification,Do not propagate to later buildings; do not use 2023-2024 Meta water to choose k,HIGH for 2011 design class; LOW for later campus,EXISTING_PROJECT_CANONICAL_CITATION
