quantity_id,quantity,symbol,definition,unit,time_resolution,spatial_resolution,implementation_status,provenance_class,primary_source,raw_fields,processed_fields,equation_transformation_model,code_implementing_it,fitted_parameters,modeling_assumptions,calibration_target,independent_validation_source,accuracy_diagnostic_available,confidence_level,missing_information_limitation,glossary_section
Q_ARRIVALS,Workload arrivals,"A_{c,t}",New work arriving in interval t. No public scheduler traces exist; the stochastic module draws scale-free Cox-process counts.,scenario work counts (not kWh),hourly in stochastic ensemble,single site scenario,implemented as generative scenario only,scenario,none (no telemetry); src/stochastic_conditional_simulation.py,,interactive_arrivals; batch_arrivals,Poisson counts from diurnal/weekly/AR log-intensity; not recovered arrivals,src/stochastic_conditional_simulation.py::simulate_workload,none identified from Meta traces,base_rate=72; mixed interactive/batch Cox scenario; scale-free by construction,none,unavailable,structural queue conservation only; no arrival telemetry,"low (scenario, not observation)",Hourly IT workload traces are not public.,workload
Q_EXECUTED,Executed workload,"x_{i,c,τ,t}",Work executed in t from a stable aggregate queue. Stochastic only; conditional reconstruction has no queue.,scenario work units,hourly (stochastic),single site scenario,implemented as generative scenario only,simulated,src/stochastic_conditional_simulation.py,,executed_work_units,aggregate service recursion from Gamma-compounded job sizes,src/stochastic_conditional_simulation.py::simulate_workload,none from telemetry,queue carried 2011-2024; conservation checked in stochastic_proxy_checks.csv,none,unavailable,queue_conservation PASS in outputs/stochastic_proxy_checks.csv,low,Not recovered from public data.,workload
Q_CAPACITY,Compute capacity,"K^{comp}_{i,t}",Usable compute capacity. Not identified from public sources.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,"No hardware inventory, nameplate IT MW time series, or scheduler availability.",workload
Q_UTILIZATION,Utilization,"u_{i,t}",Share of usable capacity that is active. Stochastic module uses a scale-free utilization_index from executed work; it is not measured u=x/K.,index (scale-free),hourly (stochastic),single site scenario,scenario index only,scenario,src/stochastic_conditional_simulation.py,,utilization_index; it_power_shape_index,utilization_index from executed work; mapped to IT-power shape then annually rescaled,src/stochastic_conditional_simulation.py::simulate_workload,none from telemetry,index is not a physical 0-1 utilization of known K,none,unavailable,none vs telemetry,low,No rack/server utilization telemetry.,workload
Q_BACKLOG,Backlog,"J_{c,t}",Unfinished work in the stochastic aggregate queue.,scenario work units,hourly (stochastic),single site scenario,implemented as generative scenario only,simulated,src/stochastic_conditional_simulation.py,,batch_backlog_work_units,J_{t+1}=[J_t - service]^+ + arrivals (aggregate),src/stochastic_conditional_simulation.py::simulate_workload,,nonnegative queue; carried across years,none,unavailable,nonnegative_queue and queue_state_carried_across_years PASS,low,Not a scheduler queue.,workload
Q_DELAY_SLA,Delay and SLA,"D_j, Δ_c",Job delay and class delay limits. Not implemented.,unavailable,unavailable,unavailable,unavailable,unavailable,,,,not implemented,,,,,,none,none,No job timestamps or SLA constraints in the pipeline.,workload
Q_P_IT,IT power,"P^{IT}_{i,t}",Electricity used by IT equipment. Conditional reconstruction uses one latent constant-within-year IT-power scale so gray-box facility energy closes to reported annual facility MWh. Stochastic uses a workload shape then the same annual closure.,MW,hourly (reconstructed/simulated); annual scale,"campus (latent, not metered)",implemented as fitted latent (conditional) / simulated-then-closed (stochastic),fitted,Meta annual facility electricity + NOAA weather + gray-box,electricity_mwh_reported,p_it_mw; it_energy_mwh_fitted,"P_IT_scale = E_fac_reported / sum_t P_fac(weather, P_IT=1 MW); hourly P_IT = scale (conditional) or scale × shape (stochastic)",src/conditional_reconstruction.py::reconstruct; src/stochastic_conditional_simulation.py::close_facility_energy,annual IT-power scale (one per year),constant IT power within a year in the conditional baseline; gray-box linear in IT power; not observed PDU telemetry,"annual facility electricity (closure, not prediction)",unavailable (no hourly feeder/IT meters),annual electricity residual ≈ 0 by construction (outputs/conditional_annual_compare.csv),low for hourly path; medium that annual IT energy is in a physically consistent PUE range,Hourly IT load is not public. Within-year variation is assumed (conditional) or scenario (stochastic).,workload
Q_E_IT,IT energy,"E^{IT}_{i,t}",Hourly IT power summed to MWh. Derived from fitted/simulated P_IT.,MWh,hourly sum → annual,campus (latent),implemented as derived from fitted P_IT,derived,fitted P_IT,,it_energy_mwh_fitted; it_energy_mwh_median (stochastic ensemble),E_IT = sum_t P_IT_t × 1 h,src/conditional_reconstruction.py; src/stochastic_conditional_simulation.py,inherits annual IT scale,piecewise-constant hourly power,indirect via facility-energy closure,unavailable,annual PUE model ≈ 1.060 vs 2011 design 1.07,low-medium,No measured IT energy series.,workload
Q_WEATHER,Weather state,"T^{db}, RH, p, T^{wb}","KRDM Global Hourly dry-bulb, RH, pressure; wet-bulb computed in prepare_weather.py.",degC; percent; Pa,hourly,KRDM station (not campus),implemented,measured,NOAA_GH_KRDM_FILES,"NCEI Global Hourly TMP, DEW, SLP, WND, AA1 as parsed by prepare_weather.py",t_db_C; t_dew_C; rh_pct; pressure_Pa; t_wb_C; precip_mm,station parse + psychrometric wet-bulb,src/prepare_weather.py,,KRDM is an acceptable weather driver; not campus microclimate,none,optional closer Prineville AWOS not in pipeline,weather_hour_coverage = 1.0 for 2011-2024 in conditional_annual_compare.csv,high as KRDM observations; medium as campus driver,Off-campus station bias unquantified.,weather_heat
Q_IT_HEAT,IT heat,"Q^{IT}_{i,t}",Operational-scale IT heat. Gray-box uses Q_IT ≈ P_IT to size airflow: m_air = P_IT×1e6 / (c_p × ΔT_server).,MW_th (implicit),hourly,campus (modeled),implemented as physics identity inside gray-box,derived,fitted P_IT,,implicit in m_air; not a stored column,Q_IT ≈ P_IT,src/prineville_graybox.py::simulate,server_deltaT_C=12 (prior),near-total conversion of IT electricity to sensible heat; no thermal storage state,none,unavailable,none vs calorimetry,medium as an accounting assumption; unvalidated locally,No loop heat measurements.,weather_heat
